date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:45:46	183634/183634	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Dec%202023%2016:30:42%20GMT	https://www.hophopfood.org/	C:/My%20Web%20Sites/www.hophopfood.org/www.hophopfood.org/index.html	(from )
17:45:47	185/185	---M-Z	200	added ('OK')	text/plain	date:Tue,%2019%20Dec%202023%2016:45:05%20GMT	https://www.hophopfood.org/robots.txt		(from )
17:45:50	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Tue,%2019%20Dec%202023%2016:45:50%20GMT	https://www.hophopfood.org/xmlrpc.php	C:/My%20Web%20Sites/www.hophopfood.org/www.hophopfood.org/xmlrpc.0.delayed	(from https://www.hophopfood.org/)
17:45:53	59016/59016	---M-Z	200	added ('OK')	text/css	etag:%22e688-5d9b572cf1a2a-gzip%22	https://www.hophopfood.org/wp-includes/css/dashicons.min.css?ver=6.4.2	C:/My%20Web%20Sites/www.hophopfood.org/www.hophopfood.org/wp-includes/css/dashicons.min1e39.css	(from https://www.hophopfood.org/)
17:45:53	87553/87553	---M-Z	200	added ('OK')	application/javascript	etag:%2215601-60a317162d8e9-gzip%22	https://www.hophopfood.org/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/www.hophopfood.org/www.hophopfood.org/wp-includes/js/jquery/jquery.minf43b.js	(from https://www.hophopfood.org/)
17:45:59	13700/13700	---M-Z	200	added ('OK')	application/rss+xml	etag:%228f05cb573aa452cc78c6e0459b38cd41%22	https://www.hophopfood.org/feed/	C:/My%20Web%20Sites/www.hophopfood.org/www.hophopfood.org/feed/index.html	(from https://www.hophopfood.org/)
17:46:01	613614/613614	---M-Z	200	added ('OK')	text/css	etag:%2241c6bc0526438a5260ec77c0e9993e1f-gzip%22	https://www.hophopfood.org/_jb_static/??-eJydk9FywiAQRf+mT0UaWzU+OP0WApuIQkAWJmO/vpBYR03iSJ8C4d7DAndpZ4lsuQoCkB6QahCSgQINrb+bWMXO4IiChvHzQst2wRHf6TN7XLud35m4aX3SWBUa2SJNc8Y9qY3TZEOvzKin6M8KcNa6ByZiZbUxPn4umxlHGSL4gTAjmUWOIEpWFGSUDbzrOun/PT3ZZEG161Uiz5mqwE5acMO99MNJRLDKMHGLSAZr0JNyU369qG+UqZjKgRdFuV1mv1R8bdpJ0cQzkrvbydl5VWw+Mg3FerbUA3jL+JFqI0IMX7z6I1ySOPL4fYQjFaAkl4bWoeVepqh09scYffvuvZQEL9U4zw+Yl/ZKzL7HyCmAkxNd8mgI6I3Oi1wdRYR1gEbDkN7UrMM8P8AjGhol/9EII46DJig23Q95pMqxVjzv6r98JPllnLTfehdjuNyu1p/r8o1Xu+IXpZ0HKg==	C:/My%20Web%20Sites/www.hophopfood.org/www.hophopfood.org/_jb_static/indexa182.html	(from https://www.hophopfood.org/)
17:46:05	853/853	---M-Z	200	added ('OK')	application/rss+xml	etag:%228f05cb573aa452cc78c6e0459b38cd41%22	https://www.hophopfood.org/comments/feed/	C:/My%20Web%20Sites/www.hophopfood.org/www.hophopfood.org/comments/feed/index.html	(from https://www.hophopfood.org/)
17:46:07	90647/90647	---M-Z	200	added ('OK')	application/json	date:Tue,%2019%20Dec%202023%2016:46:03%20GMT	https://www.hophopfood.org/wp-json/wp/v2/pages/11892	C:/My%20Web%20Sites/www.hophopfood.org/www.hophopfood.org/wp-json/wp/v2/pages/11892.json	(from https://www.hophopfood.org/)
17:46:09	491325/491325	---M-Z	200	added ('OK')	application/json	date:Tue,%2019%20Dec%202023%2016:46:03%20GMT	https://www.hophopfood.org/wp-json/	C:/My%20Web%20Sites/www.hophopfood.org/www.hophopfood.org/wp-json/index.html	(from https://www.hophopfood.org/)
17:46:12	823/823	---M-Z	200	added ('OK')	text/xml	date:Tue,%2019%20Dec%202023%2016:46:09%20GMT	https://www.hophopfood.org/xmlrpc.php?rsd	C:/My%20Web%20Sites/www.hophopfood.org/www.hophopfood.org/xmlrpc0db0.php	(from https://www.hophopfood.org/)
17:46:15	2631/2631	---M-Z	200	added ('OK')	application/json	date:Tue,%2019%20Dec%202023%2016:46:14%20GMT	https://www.hophopfood.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.hophopfood.org%2F	C:/My%20Web%20Sites/www.hophopfood.org/www.hophopfood.org/wp-json/oembed/1.0/embed112d.json	(from https://www.hophopfood.org/)
17:46:18	2805/2805	---M-Z	200	added ('OK')	text/xml	date:Tue,%2019%20Dec%202023%2016:46:19%20GMT	https://www.hophopfood.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.hophopfood.org%2F&format=xml	C:/My%20Web%20Sites/www.hophopfood.org/www.hophopfood.org/wp-json/oembed/1.0/embed2768	(from https://www.hophopfood.org/)
17:46:19	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2019%20Dec%202023%2016:46:21%20GMT	http://www.hophopfood.org/wp-content/uploads/2018/02/logo-rond-e1518433094921.png	C:/My%20Web%20Sites/www.hophopfood.org/www.hophopfood.org/wp-content/uploads/2018/02/logo-rond-e1518433094921.7.delayed	(from https://www.hophopfood.org/)
17:46:25	55196/55196	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Dec%202023%2016:46:22%20GMT	https://www.hophopfood.org/wp-content/uploads/2018/02/logo-rond-e1518433094921.png	C:/My%20Web%20Sites/www.hophopfood.org/www.hophopfood.org/wp-content/uploads/2018/02/logo-rond-e1518433094921.png	(from https://www.hophopfood.org/)
17:46:25	1466/1466	---M--	200	added ('OK')	image/png	etag:%226aae7b6cca5dc2ce%22	https://i0.wp.com/www.hophopfood.org/wp-content/uploads/2022/03/cropped-HHF-fond-transparent-1-e1646760868538.png?fit=32%2C32&ssl=1	C:/My%20Web%20Sites/www.hophopfood.org/i0.wp.com/www.hophopfood.org/wp-content/uploads/2022/03/cropped-HHF-fond-transparent-1-e1646760868538e43b.png	(from https://www.hophopfood.org/)
17:46:25	9498/9498	---M--	200	added ('OK')	image/png	etag:%22f86ae1c22dc5efe8%22	https://i0.wp.com/www.hophopfood.org/wp-content/uploads/2022/03/cropped-HHF-fond-transparent-1-e1646760868538.png?fit=192%2C192&ssl=1	C:/My%20Web%20Sites/www.hophopfood.org/i0.wp.com/www.hophopfood.org/wp-content/uploads/2022/03/cropped-HHF-fond-transparent-1-e164676086853898d8.png	(from https://www.hophopfood.org/)
